cantera_index,sensitivity,cantera equation,cantera products,cantera reactants
172,0.001936706871570959,CH2CO(28) + H(8) <=> CH3(19) + CO(15),"{'CH3(19)': 1.0, 'CO(15)': 1.0}","{'CH2CO(28)': 1.0, 'H(8)': 1.0}"
157,-0.001915724791218586,HCCO(21) + O2(4) <=> 2 CO(15) + OH(2),"{'CO(15)': 2.0, 'OH(2)': 1.0}","{'HCCO(21)': 1.0, 'O2(4)': 1.0}"
1281,0.0018897549930202615,C3H3(6822) + HBR(92) <=> BR(90) + C#CC(5272),"{'BR(90)': 1.0, 'C#CC(5272)': 1.0}","{'C3H3(6822)': 1.0, 'HBR(92)': 1.0}"
34,-0.0018843345664743515,HCO(17) + O(9) <=> CO(15) + OH(2),"{'CO(15)': 1.0, 'OH(2)': 1.0}","{'HCO(17)': 1.0, 'O(9)': 1.0}"
1161,-0.0018767298130858833,CHF2(82) + O2(4) <=> CF2O(49) + OH(2),"{'CF2O(49)': 1.0, 'OH(2)': 1.0}","{'CHF2(82)': 1.0, 'O2(4)': 1.0}"
236,-0.0018631605460872,C2H6(31) + OH(2) <=> C2H5(32) + H2O(5),"{'C2H5(32)': 1.0, 'H2O(5)': 1.0}","{'C2H6(31)': 1.0, 'OH(2)': 1.0}"
1389,-0.0018346389437176626,C2H2(23) + CH3(19) <=> C#CC(5272) + H(8),"{'C#CC(5272)': 1.0, 'H(8)': 1.0}","{'C2H2(23)': 1.0, 'CH3(19)': 1.0}"
784,0.001821513951512135,CH2(T)(18) + OH(2) <=> CH3(19) + O(9),"{'CH3(19)': 1.0, 'O(9)': 1.0}","{'CH2(T)(18)': 1.0, 'OH(2)': 1.0}"
79,0.0017952095904270817,CH2(S)(25) + CO2(16) <=> CH2O(20) + CO(15),"{'CH2O(20)': 1.0, 'CO(15)': 1.0}","{'CH2(S)(25)': 1.0, 'CO2(16)': 1.0}"
72,-0.0017697644058536112,CH2(S)(25) + H2(10) <=> CH3(19) + H(8),"{'CH3(19)': 1.0, 'H(8)': 1.0}","{'CH2(S)(25)': 1.0, 'H2(10)': 1.0}"
45,0.0017534868187109832,CH(7) + H2O(5) <=> CH2O(20) + H(8),"{'CH2O(20)': 1.0, 'H(8)': 1.0}","{'CH(7)': 1.0, 'H2O(5)': 1.0}"
1038,-0.0016886871047135418,CF2(43) + O2(4) <=> S(3152),{'S(3152)': 1.0},"{'CF2(43)': 1.0, 'O2(4)': 1.0}"
1284,0.0016856248376347493,C3H3(6822) + H(8) <=> C#CC(5272),{'C#CC(5272)': 1.0},"{'C3H3(6822)': 1.0, 'H(8)': 1.0}"
188,-0.0016667759771503154,C2H3(29) + O2(4) <=> CH2CHO(35) + O(9),"{'CH2CHO(35)': 1.0, 'O(9)': 1.0}","{'C2H3(29)': 1.0, 'O2(4)': 1.0}"
632,0.0016518736619654346,CF3(45) + S(140) <=> 2-BTP(1) + CHF3(42),"{'2-BTP(1)': 1.0, 'CHF3(42)': 1.0}","{'CF3(45)': 1.0, 'S(140)': 1.0}"
101,0.0016107552952353303,CH2(T)(18) + CH3(19) <=> C2H4(30) + H(8),"{'C2H4(30)': 1.0, 'H(8)': 1.0}","{'CH2(T)(18)': 1.0, 'CH3(19)': 1.0}"
629,0.0016095575908567888,OH(2) + S(140) <=> 2-BTP(1) + H2O(5),"{'2-BTP(1)': 1.0, 'H2O(5)': 1.0}","{'OH(2)': 1.0, 'S(140)': 1.0}"
414,0.0016072953930247045,CH3(19) + HBR(92) <=> BR(90) + CH4(3),"{'BR(90)': 1.0, 'CH4(3)': 1.0}","{'CH3(19)': 1.0, 'HBR(92)': 1.0}"
982,0.001599786762869634,C2H4(30) + HBR(92) <=> BR(90) + C2H5(32),"{'BR(90)': 1.0, 'C2H5(32)': 1.0}","{'C2H4(30)': 1.0, 'HBR(92)': 1.0}"
56,-0.0015988695873405453,CH2(T)(18) + H2(10) <=> CH3(19) + H(8),"{'CH3(19)': 1.0, 'H(8)': 1.0}","{'CH2(T)(18)': 1.0, 'H2(10)': 1.0}"
1218,0.0015923117004093554,CF2(43) + CH2Br(969) <=> BR(90) + CH2CF2(57),"{'BR(90)': 1.0, 'CH2CF2(57)': 1.0}","{'CF2(43)': 1.0, 'CH2Br(969)': 1.0}"
187,0.001538435629760355,C2H3(29) + O2(4) <=> CH2O(20) + HCO(17),"{'CH2O(20)': 1.0, 'HCO(17)': 1.0}","{'C2H3(29)': 1.0, 'O2(4)': 1.0}"
40,0.0015244762227366103,CH(7) + H(8) <=> C(6) + H2(10),"{'C(6)': 1.0, 'H2(10)': 1.0}","{'CH(7)': 1.0, 'H(8)': 1.0}"
1346,-0.0014293312418445332,C3H3(6822) + O2(4) <=> O(9) + S(7035),"{'O(9)': 1.0, 'S(7035)': 1.0}","{'C3H3(6822)': 1.0, 'O2(4)': 1.0}"
1,0.0014172787117292234,H2(10) + O(9) <=> H(8) + OH(2),"{'H(8)': 1.0, 'OH(2)': 1.0}","{'H2(10)': 1.0, 'O(9)': 1.0}"
913,0.0013614430167799064,FCBr(2948) + H(8) <=> CH2Br(969) + HF(38),"{'CH2Br(969)': 1.0, 'HF(38)': 1.0}","{'FCBr(2948)': 1.0, 'H(8)': 1.0}"
908,-0.001357811817420277,CH2Br(969) + H(8) <=> CH2(T)(18) + HBR(92),"{'CH2(T)(18)': 1.0, 'HBR(92)': 1.0}","{'CH2Br(969)': 1.0, 'H(8)': 1.0}"
830,-0.0013565073984920998,CF3(45) + O2(4) <=> CF3O(48) + O(9),"{'CF3O(48)': 1.0, 'O(9)': 1.0}","{'CF3(45)': 1.0, 'O2(4)': 1.0}"
51,0.0013374561231641654,CH(7) + CO2(16) <=> CO(15) + HCO(17),"{'CO(15)': 1.0, 'HCO(17)': 1.0}","{'CH(7)': 1.0, 'CO2(16)': 1.0}"
587,0.0013315711234518,CBr(425) + H(8) <=> CH3(19) + HBR(92),"{'CH3(19)': 1.0, 'HBR(92)': 1.0}","{'CBr(425)': 1.0, 'H(8)': 1.0}"
182,0.001276521965859281,C2H3(29) + H(8) <=> H2(10) + H2CC(24),"{'H2(10)': 1.0, 'H2CC(24)': 1.0}","{'C2H3(29)': 1.0, 'H(8)': 1.0}"
235,0.001242878713691485,C2H6(31) + O(9) <=> C2H5(32) + OH(2),"{'C2H5(32)': 1.0, 'OH(2)': 1.0}","{'C2H6(31)': 1.0, 'O(9)': 1.0}"
1080,0.0012115138832817364,BR(90) + S(4420) <=> S(1362),{'S(1362)': 1.0},"{'BR(90)': 1.0, 'S(4420)': 1.0}"
628,0.0011773761110794308,O(9) + S(140) <=> 2-BTP(1) + OH(2),"{'2-BTP(1)': 1.0, 'OH(2)': 1.0}","{'O(9)': 1.0, 'S(140)': 1.0}"
683,0.0011713227955939402,HBR(92) + OH(2) <=> BR(90) + H2O(5),"{'BR(90)': 1.0, 'H2O(5)': 1.0}","{'HBR(92)': 1.0, 'OH(2)': 1.0}"
5,0.0011690362731563318,H2(10) + M <=> 2 H(8) + M,{'H(8)': 2.0},{'H2(10)': 1.0}
49,-0.0011505604907281696,CH(7) + O2(4) <=> CO(15) + H(8) + O(9),"{'CO(15)': 1.0, 'H(8)': 1.0, 'O(9)': 1.0}","{'CH(7)': 1.0, 'O2(4)': 1.0}"
985,0.0011039971571928295,CF3CCH(84) + CH3(19) <=> H(8) + S(2407),"{'H(8)': 1.0, 'S(2407)': 1.0}","{'CF3CCH(84)': 1.0, 'CH3(19)': 1.0}"
734,0.0011036957534953074,BR(90) + C2H5(32) <=> C2H4(30) + HBR(92),"{'C2H4(30)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'C2H5(32)': 1.0}"
953,-0.001084085436210818,CF3CCH(84) + H(8) <=> C2H2(23) + CF3(45),"{'C2H2(23)': 1.0, 'CF3(45)': 1.0}","{'CF3CCH(84)': 1.0, 'H(8)': 1.0}"
357,0.0010783421325272747,H2O2(14) <=> 2 OH(2),{'OH(2)': 2.0},{'H2O2(14)': 1.0}
822,0.0010178808508866557,CH2Br(969) <=> BR(90) + CH2(T)(18),"{'BR(90)': 1.0, 'CH2(T)(18)': 1.0}",{'CH2Br(969)': 1.0}
911,-0.0009781210216696023,CH2Br(969) + H(8) <=> CH2(S)(25) + HBR(92),"{'CH2(S)(25)': 1.0, 'HBR(92)': 1.0}","{'CH2Br(969)': 1.0, 'H(8)': 1.0}"
514,0.0009386842694479061,CHF3(42) <=> CF3(45) + H(8),"{'CF3(45)': 1.0, 'H(8)': 1.0}",{'CHF3(42)': 1.0}
152,-0.000932756039987324,C2H(22) + H2(10) <=> C2H2(23) + H(8),"{'C2H2(23)': 1.0, 'H(8)': 1.0}","{'C2H(22)': 1.0, 'H2(10)': 1.0}"
