k_s,sensitivity,cantera equation,cantera products,cantera reactants
30,0.0038126661678287233,CO(15) + OH(2) <=> CO2(16) + H(8),"{'CO2(16)': 1.0, 'H(8)': 1.0}","{'CO(15)': 1.0, 'OH(2)': 1.0}"
60,-0.003790370026828512,CH2(T)(18) + O2(4) <=> CO2(16) + H2(10),"{'CO2(16)': 1.0, 'H2(10)': 1.0}","{'CH2(T)(18)': 1.0, 'O2(4)': 1.0}"
220,0.003746592904114213,C2H4(30) + OH(2) <=> C2H3(29) + H2O(5),"{'C2H3(29)': 1.0, 'H2O(5)': 1.0}","{'C2H4(30)': 1.0, 'OH(2)': 1.0}"
73,0.003629739691205703,CH2(S)(25) + O2(4) <=> CH2(T)(18) + O2(4),"{'CH2(T)(18)': 1.0, 'O2(4)': 1.0}","{'CH2(S)(25)': 1.0, 'O2(4)': 1.0}"
188,0.003558293482643971,C2H3(29) + O2(4) <=> CH2CHO(35) + O(9),"{'CH2CHO(35)': 1.0, 'O(9)': 1.0}","{'C2H3(29)': 1.0, 'O2(4)': 1.0}"
80,-0.003522983945390827,CH2O(20) + H(8) <=> H2(10) + HCO(17),"{'H2(10)': 1.0, 'HCO(17)': 1.0}","{'CH2O(20)': 1.0, 'H(8)': 1.0}"
51,-0.003466157319681326,CH(7) + CO2(16) <=> CO(15) + HCO(17),"{'CO(15)': 1.0, 'HCO(17)': 1.0}","{'CH(7)': 1.0, 'CO2(16)': 1.0}"
49,0.0034442606524631107,CH(7) + O2(4) <=> CO(15) + H(8) + O(9),"{'CO(15)': 1.0, 'H(8)': 1.0, 'O(9)': 1.0}","{'CH(7)': 1.0, 'O2(4)': 1.0}"
693,-0.0033438933766345154,BR(90) + CH2OH(33) <=> CH2O(20) + HBR(92),"{'CH2O(20)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'CH2OH(33)': 1.0}"
157,0.003288514632771668,HCCO(21) + O2(4) <=> 2 CO(15) + OH(2),"{'CO(15)': 2.0, 'OH(2)': 1.0}","{'HCCO(21)': 1.0, 'O2(4)': 1.0}"
123,0.0032822210469909074,CH4(3) + O(9) <=> CH3(19) + OH(2),"{'CH3(19)': 1.0, 'OH(2)': 1.0}","{'CH4(3)': 1.0, 'O(9)': 1.0}"
913,-0.0032241702407285688,FCBr(2948) + H(8) <=> CH2Br(969) + HF(38),"{'CH2Br(969)': 1.0, 'HF(38)': 1.0}","{'FCBr(2948)': 1.0, 'H(8)': 1.0}"
953,0.0031993467600509463,CF3CCH(84) + H(8) <=> C2H2(23) + CF3(45),"{'C2H2(23)': 1.0, 'CF3(45)': 1.0}","{'CF3CCH(84)': 1.0, 'H(8)': 1.0}"
172,-0.0031093128113215164,CH2CO(28) + H(8) <=> CH3(19) + CO(15),"{'CH3(19)': 1.0, 'CO(15)': 1.0}","{'CH2CO(28)': 1.0, 'H(8)': 1.0}"
